author,author_link,screen_shot_filename,tags,text,text_hash
Albert Einstein,/author/Albert-Einstein,,"change,deep-thoughts,thinking,world",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,
J.K. Rowling,/author/J-K-Rowling,,"abilities,choices","“It is our choices, Harry, that show what we truly are, far more than our abilities.”",
Albert Einstein,/author/Albert-Einstein,,"inspirational,life,live,miracle,miracles",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,
Jane Austen,/author/Jane-Austen,,"aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",
Marilyn Monroe,/author/Marilyn-Monroe,,"be-yourself,inspirational","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",
Albert Einstein,/author/Albert-Einstein,,"adulthood,success,value",“Try not to become a man of success. Rather become a man of value.”,
André Gide,/author/Andre-Gide,,"life,love",“It is better to be hated for what you are than to be loved for what you are not.”,
Thomas A. Edison,/author/Thomas-A-Edison,,"edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways that won't work.”",
Eleanor Roosevelt,/author/Eleanor-Roosevelt,,misattributed-eleanor-roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,
Steve Martin,/author/Steve-Martin,,"humor,obvious,simile","“A day without sunshine is like, you know, night.”",
